fecha,cantidad.incidente,cantidad_z1,cantidad_z2,cantidad_z3,cantidad_z4,cantidad_z5,cantidad_z6
2020-01-01,0,0,0,0,0,0,0
2020-01-02,27,3,6,11,0,5,2
2020-01-03,19,2,7,5,0,4,1
2020-01-04,6,4,1,0,0,1,0
2020-01-05,1,1,0,0,0,0,0
2020-01-06,12,2,3,7,0,0,0
2020-01-07,12,1,4,1,0,4,2
2020-01-08,26,6,5,8,0,6,1
2020-01-09,19,5,4,3,0,5,2
2020-01-10,11,2,3,2,0,0,4
2020-01-11,2,0,1,0,0,0,1
2020-01-12,1,0,0,0,0,1,0
2020-01-13,17,4,0,6,0,5,2
2020-01-14,18,4,3,0,0,11,0
2020-01-15,12,1,4,3,0,2,2
2020-01-16,6,1,0,1,0,3,1
2020-01-17,8,1,1,1,0,1,4
2020-01-18,5,3,0,0,0,2,0
2020-01-19,1,1,0,0,0,0,0
2020-01-20,16,2,4,6,0,4,0
2020-01-21,8,1,3,2,0,2,0
2020-01-22,16,7,2,3,0,4,0
2020-01-23,13,4,3,1,0,4,1
2020-01-24,18,7,5,3,0,1,2
2020-01-25,4,3,0,0,0,1,0
2020-01-26,1,0,0,0,0,1,0
2020-01-27,11,5,0,1,0,4,1
2020-01-28,18,5,1,4,0,5,3
2020-01-29,16,4,0,5,0,4,3
2020-01-30,11,2,4,3,0,2,0
2020-01-31,23,6,6,6,0,0,5
2020-02-01,2,2,0,0,0,0,0
2020-02-02,0,0,0,0,0,0,0
2020-02-03,27,2,5,11,0,7,2
2020-02-04,12,1,4,6,0,0,1
2020-02-05,14,5,5,2,0,1,1
2020-02-06,7,1,2,1,0,3,0
2020-02-07,11,0,4,2,0,3,2
2020-02-08,4,0,0,1,0,3,0
2020-02-09,1,1,0,0,0,0,0
2020-02-10,9,1,2,4,0,1,1
2020-02-11,13,2,3,4,0,4,0
2020-02-12,13,2,1,2,0,4,4
2020-02-13,20,2,7,9,0,0,2
2020-02-14,2,0,1,1,0,0,0
2020-02-15,1,0,0,0,0,1,0
2020-02-16,0,0,0,0,0,0,0
2020-02-17,6,0,3,2,0,1,0
2020-02-18,12,3,5,1,0,1,2
2020-02-19,9,1,5,0,0,3,0
2020-02-20,20,1,3,0,0,16,0
2020-02-21,8,0,3,1,0,1,3
2020-02-22,1,0,1,0,0,0,0
2020-02-23,0,0,0,0,0,0,0
2020-02-24,20,3,1,2,0,11,3
2020-02-25,13,2,1,4,0,5,1
2020-02-26,15,4,1,2,0,7,1
2020-02-27,21,12,6,3,0,0,0
2020-02-28,6,0,2,2,0,1,1
2020-02-29,1,0,0,0,0,1,0
2020-03-01,1,1,0,0,0,0,0
2020-03-02,10,2,3,3,0,2,0
2020-03-03,11,1,5,1,0,3,1
2020-03-04,10,0,4,3,0,2,1
2020-03-05,11,3,3,3,0,2,0
2020-03-06,7,3,1,0,0,2,1
2020-03-07,1,0,0,0,0,0,1
2020-03-08,0,0,0,0,0,0,0
2020-03-09,9,1,3,4,0,0,1
2020-03-10,3,0,1,2,0,0,0
2020-03-11,9,4,2,2,0,1,0
2020-03-12,15,6,3,1,0,2,3
2020-03-13,13,2,1,4,0,4,2
2020-03-14,1,0,0,0,0,0,1
2020-03-15,0,0,0,0,0,0,0
2020-03-16,4,0,0,4,0,0,0
2020-03-17,3,1,2,0,0,0,0
2020-03-18,3,1,0,2,0,0,0
2020-03-19,3,1,0,0,0,2,0
2020-03-20,2,1,0,1,0,0,0
2020-03-21,2,2,0,0,0,0,0
2020-03-22,1,1,0,0,0,0,0
2020-03-23,5,3,2,0,0,0,0
2020-03-24,4,3,1,0,0,0,0
2020-03-25,1,0,0,0,0,0,1
2020-03-26,3,1,0,1,0,1,0
2020-03-27,5,2,2,0,0,1,0
2020-03-28,2,2,0,0,0,0,0
2020-03-29,1,1,0,0,0,0,0
2020-03-30,5,1,2,2,0,0,0
2020-03-31,6,1,2,0,0,2,1
2020-04-01,7,3,0,3,0,1,0
2020-04-02,1,0,0,1,0,0,0
2020-04-03,1,0,1,0,0,0,0
2020-04-04,5,4,0,0,0,1,0
2020-04-05,1,1,0,0,0,0,0
2020-04-06,1,1,0,0,0,0,0
2020-04-07,3,0,1,2,0,0,0
2020-04-08,5,3,0,1,0,1,0
2020-04-09,0,0,0,0,0,0,0
2020-04-10,0,0,0,0,0,0,0
2020-04-11,0,0,0,0,0,0,0
2020-04-12,0,0,0,0,0,0,0
2020-04-13,9,3,2,4,0,0,0
2020-04-14,2,0,1,0,0,1,0
2020-04-15,13,4,1,3,0,5,0
2020-04-16,4,3,0,1,0,0,0
2020-04-17,5,3,0,1,0,1,0
2020-04-18,4,1,1,1,0,1,0
2020-04-19,0,0,0,0,0,0,0
2020-04-20,7,2,1,2,0,2,0
2020-04-21,3,1,1,0,0,1,0
2020-04-22,4,0,1,2,0,1,0
2020-04-23,1,0,0,0,0,1,0
2020-04-24,6,1,1,1,0,3,0
2020-04-25,1,1,0,0,0,0,0
2020-04-26,0,0,0,0,0,0,0
2020-04-27,3,0,0,2,0,0,1
2020-04-28,3,1,1,0,0,1,0
2020-04-29,3,2,0,0,0,1,0
2020-04-30,4,0,1,2,0,1,0
2020-05-01,0,0,0,0,0,0,0
2020-05-02,2,0,0,0,0,2,0
2020-05-03,0,0,0,0,0,0,0
2020-05-04,3,0,0,2,0,0,1
2020-05-05,7,2,1,0,0,4,0
2020-05-06,8,3,0,2,0,3,0
2020-05-07,5,2,1,1,0,1,0
2020-05-08,14,12,1,0,0,1,0
2020-05-09,4,2,1,0,0,1,0
2020-05-10,0,0,0,0,0,0,0
2020-05-11,9,3,1,2,0,3,0
2020-05-12,6,1,0,2,0,3,0
2020-05-13,1,0,0,1,0,0,0
2020-05-14,8,2,2,1,0,2,1
2020-05-15,5,2,1,1,0,1,0
2020-05-16,1,1,0,0,0,0,0
2020-05-17,0,0,0,0,0,0,0
2020-05-18,16,12,1,1,0,0,2
2020-05-19,14,13,0,1,0,0,0
2020-05-20,5,1,0,3,0,1,0
2020-05-21,2,0,2,0,0,0,0
2020-05-22,3,1,1,1,0,0,0
2020-05-23,1,0,0,0,0,1,0
2020-05-24,0,0,0,0,0,0,0
2020-05-25,7,1,1,1,0,4,0
2020-05-26,8,6,1,0,0,0,1
2020-05-27,16,16,0,0,0,0,0
2020-05-28,5,1,3,0,0,1,0
2020-05-29,5,0,1,1,0,3,0
2020-05-30,2,2,0,0,0,0,0
2020-05-31,0,0,0,0,0,0,0
2020-06-01,9,2,0,7,0,0,0
2020-06-02,13,8,0,3,0,2,0
2020-06-03,5,1,1,2,0,1,0
2020-06-04,5,2,2,1,0,0,0
2020-06-05,7,0,1,1,0,5,0
2020-06-06,3,0,0,0,0,3,0
2020-06-07,0,0,0,0,0,0,0
2020-06-08,8,1,1,2,0,4,0
2020-06-09,6,2,1,1,0,2,0
2020-06-10,0,0,0,0,0,0,0
2020-06-11,4,1,1,1,0,1,0
2020-06-12,1,1,0,0,0,0,0
2020-06-13,1,0,0,1,0,0,0
2020-06-14,0,0,0,0,0,0,0
2020-06-15,3,2,0,0,0,1,0
2020-06-16,10,9,0,0,0,1,0
2020-06-17,1,0,0,0,0,1,0
2020-06-18,2,1,1,0,0,0,0
2020-06-19,9,8,0,1,0,0,0
2020-06-20,0,0,0,0,0,0,0
2020-06-21,0,0,0,0,0,0,0
2020-06-22,1,0,0,1,0,0,0
2020-06-23,1,1,0,0,0,0,0
2020-06-24,0,0,0,0,0,0,0
2020-06-25,1,0,0,0,0,1,0
2020-06-26,2,1,0,0,0,1,0
2020-06-27,3,2,0,0,0,1,0
2020-06-28,1,1,0,0,0,0,0
2020-06-29,0,0,0,0,0,0,0
2020-06-30,0,0,0,0,0,0,0
2020-07-01,1,0,0,1,0,0,0
2020-07-02,1,0,0,0,0,1,0
2020-07-03,0,0,0,0,0,0,0
2020-07-04,2,2,0,0,0,0,0
2020-07-05,0,0,0,0,0,0,0
2020-07-06,3,3,0,0,0,0,0
2020-07-07,9,6,1,0,0,2,0
2020-07-08,2,1,0,0,0,1,0
2020-07-09,0,0,0,0,0,0,0
2020-07-10,3,3,0,0,0,0,0
2020-07-11,3,2,0,1,0,0,0
2020-07-12,0,0,0,0,0,0,0
2020-07-13,5,1,1,1,0,1,1
2020-07-14,3,3,0,0,0,0,0
2020-07-15,2,0,1,1,0,0,0
2020-07-16,1,0,0,1,0,0,0
2020-07-17,2,1,0,0,0,1,0
2020-07-18,3,2,0,0,0,1,0
2020-07-19,0,0,0,0,0,0,0
2020-07-20,1,1,0,0,0,0,0
2020-07-21,1,0,0,0,0,1,0
2020-07-22,2,1,0,1,0,0,0
2020-07-23,2,1,1,0,0,0,0
2020-07-24,6,4,0,0,0,2,0
2020-07-25,0,0,0,0,0,0,0
2020-07-26,0,0,0,0,0,0,0
2020-07-27,7,4,0,1,0,2,0
2020-07-28,4,4,0,0,0,0,0
2020-07-29,2,0,0,1,0,1,0
2020-07-30,1,1,0,0,0,0,0
2020-07-31,5,2,0,1,0,2,0
2020-08-01,0,0,0,0,0,0,0
2020-08-02,0,0,0,0,0,0,0
2020-08-03,4,2,0,0,0,2,0
2020-08-04,4,2,0,0,0,2,0
2020-08-05,1,1,0,0,0,0,0
2020-08-06,4,0,0,0,0,4,0
2020-08-07,4,2,0,1,0,1,0
2020-08-08,0,0,0,0,0,0,0
2020-08-09,2,2,0,0,0,0,0
2020-08-10,1,0,0,0,0,1,0
2020-08-11,4,3,0,1,0,0,0
2020-08-12,1,0,0,1,0,0,0
2020-08-13,2,0,1,1,0,0,0
2020-08-14,1,0,0,0,0,1,0
2020-08-15,0,0,0,0,0,0,0
2020-08-16,0,0,0,0,0,0,0
2020-08-17,6,2,0,4,0,0,0
2020-08-18,7,3,1,1,0,2,0
2020-08-19,5,1,0,1,0,3,0
2020-08-20,6,6,0,0,0,0,0
2020-08-21,6,3,1,1,0,1,0
2020-08-22,2,1,0,0,0,1,0
2020-08-23,0,0,0,0,0,0,0
2020-08-24,3,0,1,1,0,1,0
2020-08-25,4,1,1,0,0,2,0
2020-08-26,2,1,0,0,0,1,0
2020-08-27,3,1,0,1,0,1,0
2020-08-28,3,1,0,1,0,1,0
2020-08-29,1,1,0,0,0,0,0
2020-08-30,0,0,0,0,0,0,0
2020-08-31,5,3,0,2,0,0,0
2020-09-01,3,1,0,1,0,1,0
2020-09-02,6,0,0,2,0,4,0
2020-09-03,4,3,0,0,0,1,0
2020-09-04,5,3,0,0,0,2,0
2020-09-05,3,1,1,0,0,1,0
2020-09-06,1,1,0,0,0,0,0
2020-09-07,5,2,1,1,0,1,0
2020-09-08,0,0,0,0,0,0,0
2020-09-09,5,0,0,2,0,1,2
2020-09-10,5,0,0,2,0,3,0
2020-09-11,3,2,0,0,0,1,0
2020-09-12,1,1,0,0,0,0,0
2020-09-13,0,0,0,0,0,0,0
2020-09-14,2,1,0,1,0,0,0
2020-09-15,3,1,1,0,0,1,0
2020-09-16,2,1,0,0,0,1,0
2020-09-17,5,0,0,2,0,3,0
2020-09-18,3,2,0,1,0,0,0
2020-09-19,4,3,0,0,0,1,0
2020-09-20,0,0,0,0,0,0,0
2020-09-21,4,1,1,1,0,1,0
2020-09-22,1,0,0,0,0,1,0
2020-09-23,6,2,1,1,0,1,1
2020-09-24,4,3,0,1,0,0,0
2020-09-25,5,2,0,0,0,3,0
2020-09-26,2,0,0,0,0,2,0
2020-09-27,0,0,0,0,0,0,0
2020-09-28,4,1,1,1,0,1,0
2020-09-29,6,4,1,1,0,0,0
2020-09-30,4,0,0,2,0,2,0
2020-10-01,1,1,0,0,0,0,0
2020-10-02,2,2,0,0,0,0,0
2020-10-03,4,1,1,0,0,2,0
2020-10-04,0,0,0,0,0,0,0
2020-10-05,12,5,0,3,0,4,0
2020-10-06,1,0,1,0,0,0,0
2020-10-07,0,0,0,0,0,0,0
2020-10-08,6,4,0,2,0,0,0
2020-10-09,9,6,0,2,0,1,0
2020-10-10,0,0,0,0,0,0,0
2020-10-11,0,0,0,0,0,0,0
2020-10-12,1,0,0,1,0,0,0
2020-10-13,3,3,0,0,0,0,0
2020-10-14,2,2,0,0,0,0,0
2020-10-15,1,1,0,0,0,0,0
2020-10-16,0,0,0,0,0,0,0
2020-10-17,1,0,0,1,0,0,0
2020-10-18,3,0,0,3,0,0,0
2020-10-19,9,2,0,3,0,2,2
2020-10-20,0,0,0,0,0,0,0
2020-10-21,1,0,0,0,0,1,0
2020-10-22,1,0,0,1,0,0,0
2020-10-23,8,7,0,0,0,1,0
2020-10-24,3,2,1,0,0,0,0
2020-10-25,1,1,0,0,0,0,0
2020-10-26,12,2,1,5,0,4,0
2020-10-27,1,0,0,0,0,1,0
2020-10-28,6,4,1,1,0,0,0
2020-10-29,5,4,0,1,0,0,0
2020-10-30,2,2,0,0,0,0,0
2020-10-31,1,1,0,0,0,0,0
2020-11-01,0,0,0,0,0,0,0
2020-11-02,7,2,1,4,0,0,0
2020-11-03,2,0,0,0,0,1,1
2020-11-04,2,2,0,0,0,0,0
2020-11-05,4,1,0,1,0,2,0
2020-11-06,4,1,0,2,0,1,0
2020-11-07,0,0,0,0,0,0,0
2020-11-08,1,1,0,0,0,0,0
2020-11-09,4,0,1,1,0,2,0
2020-11-10,1,0,0,0,0,1,0
2020-11-11,2,2,0,0,0,0,0
2020-11-12,11,1,8,1,0,1,0
2020-11-13,2,0,1,1,0,0,0
2020-11-14,1,0,0,0,0,1,0
2020-11-15,0,0,0,0,0,0,0
2020-11-16,2,1,1,0,0,0,0
2020-11-17,2,1,0,0,0,1,0
2020-11-18,3,1,0,0,0,2,0
2020-11-19,2,0,1,0,0,1,0
2020-11-20,1,1,0,0,0,0,0
2020-11-21,3,2,0,0,0,1,0
2020-11-22,0,0,0,0,0,0,0
2020-11-23,3,3,0,0,0,0,0
2020-11-24,1,1,0,0,0,0,0
2020-11-25,6,0,1,1,0,2,2
2020-11-26,0,0,0,0,0,0,0
2020-11-27,0,0,0,0,0,0,0
2020-11-28,2,2,0,0,0,0,0
2020-11-29,0,0,0,0,0,0,0
2020-11-30,3,2,0,1,0,0,0
2020-12-01,11,1,5,5,0,0,0
2020-12-02,2,1,0,0,0,1,0
2020-12-03,1,0,0,1,0,0,0
2020-12-04,3,0,1,0,0,2,0
2020-12-05,0,0,0,0,0,0,0
2020-12-06,0,0,0,0,0,0,0
2020-12-07,4,0,0,1,0,3,0
2020-12-08,0,0,0,0,0,0,0
2020-12-09,1,0,0,1,0,0,0
2020-12-10,3,2,0,0,0,1,0
2020-12-11,4,0,1,2,0,1,0
2020-12-12,0,0,0,0,0,0,0
2020-12-13,0,0,0,0,0,0,0
2020-12-14,3,2,0,1,0,0,0
2020-12-15,1,0,0,0,0,0,1
2020-12-16,3,0,1,2,0,0,0
2020-12-17,0,0,0,0,0,0,0
2020-12-18,1,0,1,0,0,0,0
2020-12-19,1,0,1,0,0,0,0
2020-12-20,0,0,0,0,0,0,0
2020-12-21,3,2,0,1,0,0,0
2020-12-22,2,0,1,1,0,0,0
2020-12-23,2,0,2,0,0,0,0
2020-12-24,0,0,0,0,0,0,0
2020-12-25,0,0,0,0,0,0,0
2020-12-26,0,0,0,0,0,0,0
2020-12-27,1,0,1,0,0,0,0
2020-12-28,4,0,0,4,0,0,0
2020-12-29,4,0,0,0,0,4,0
2020-12-30,0,0,0,0,0,0,0
2020-12-31,1,0,0,1,0,0,0
2021-01-01,0,0,0,0,0,0,0
2021-01-02,0,0,0,0,0,0,0
2021-01-03,0,0,0,0,0,0,0
2021-01-04,2,0,1,1,0,0,0
2021-01-05,2,1,0,0,0,1,0
2021-01-06,2,0,1,1,0,0,0
2021-01-07,2,1,0,1,0,0,0
2021-01-08,4,0,0,2,0,2,0
2021-01-09,0,0,0,0,0,0,0
2021-01-10,0,0,0,0,0,0,0
2021-01-11,5,1,0,1,0,3,0
2021-01-12,1,1,0,0,0,0,0
2021-01-13,3,1,1,0,0,0,1
2021-01-14,1,0,0,1,0,0,0
2021-01-15,3,2,1,0,0,0,0
2021-01-16,3,2,0,0,0,1,0
2021-01-17,0,0,0,0,0,0,0
2021-01-18,5,1,2,2,0,0,0
2021-01-19,0,0,0,0,0,0,0
2021-01-20,3,1,0,2,0,0,0
2021-01-21,2,0,0,2,0,0,0
2021-01-22,1,1,0,0,0,0,0
2021-01-23,1,0,0,1,0,0,0
2021-01-24,0,0,0,0,0,0,0
2021-01-25,3,1,1,1,0,0,0
2021-01-26,2,1,1,0,0,0,0
2021-01-27,0,0,0,0,0,0,0
2021-01-28,0,0,0,0,0,0,0
2021-01-29,2,0,1,1,0,0,0
2021-01-30,0,0,0,0,0,0,0
2021-01-31,0,0,0,0,0,0,0
2021-02-01,4,1,1,2,0,0,0
2021-02-02,2,0,2,0,0,0,0
2021-02-03,6,2,2,2,0,0,0
2021-02-04,4,2,0,1,0,1,0
2021-02-05,2,1,0,0,0,1,0
2021-02-06,4,2,0,1,0,1,0
2021-02-07,0,0,0,0,0,0,0
2021-02-08,2,2,0,0,0,0,0
2021-02-09,0,0,0,0,0,0,0
2021-02-10,4,1,2,0,0,0,1
2021-02-11,7,2,1,0,0,4,0
2021-02-12,3,2,0,1,0,0,0
2021-02-13,2,2,0,0,0,0,0
2021-02-14,0,0,0,0,0,0,0
2021-02-15,3,1,0,1,0,1,0
2021-02-16,9,6,0,1,0,2,0
2021-02-17,3,0,1,1,0,0,1
2021-02-18,1,0,0,1,0,0,0
2021-02-19,1,0,0,0,0,1,0
2021-02-20,1,1,0,0,0,0,0
2021-02-21,0,0,0,0,0,0,0
2021-02-22,1,1,0,0,0,0,0
2021-02-23,1,0,0,1,0,0,0
2021-02-24,2,2,0,0,0,0,0
2021-02-25,4,2,1,1,0,0,0
2021-02-26,5,2,0,3,0,0,0
2021-02-27,1,1,0,0,0,0,0
2021-02-28,0,0,0,0,0,0,0
2021-03-01,2,1,0,1,0,0,0
2021-03-02,10,2,0,4,0,4,0
2021-03-03,3,1,0,1,0,0,1
2021-03-04,5,2,2,0,0,1,0
2021-03-05,3,1,0,2,0,0,0
2021-03-06,1,0,0,0,0,1,0
2021-03-07,0,0,0,0,0,0,0
2021-03-08,3,0,1,0,0,2,0
2021-03-09,2,0,1,0,0,0,1
2021-03-10,0,0,0,0,0,0,0
2021-03-11,3,2,0,0,0,1,0
2021-03-12,5,3,0,1,0,1,0
2021-03-13,2,0,0,1,0,1,0
2021-03-14,0,0,0,0,0,0,0
2021-03-15,4,2,1,1,0,0,0
2021-03-16,1,1,0,0,0,0,0
2021-03-17,2,2,0,0,0,0,0
2021-03-18,5,5,0,0,0,0,0
2021-03-19,5,4,0,0,0,1,0
2021-03-20,8,7,0,1,0,0,0
2021-03-21,3,3,0,0,0,0,0
2021-03-22,2,1,0,1,0,0,0
2021-03-23,1,0,1,0,0,0,0
2021-03-24,5,4,1,0,0,0,0
2021-03-25,2,1,0,1,0,0,0
2021-03-26,0,0,0,0,0,0,0
2021-03-27,3,2,0,1,0,0,0
2021-03-28,0,0,0,0,0,0,0
2021-03-29,1,1,0,0,0,0,0
2021-03-30,9,4,2,2,0,1,0
2021-03-31,0,0,0,0,0,0,0
2021-04-01,1,0,0,0,0,1,0
2021-04-02,2,1,0,1,0,0,0
2021-04-03,0,0,0,0,0,0,0
2021-04-04,0,0,0,0,0,0,0
2021-04-05,2,0,0,2,0,0,0
2021-04-06,8,1,1,3,0,3,0
2021-04-07,4,0,1,2,0,1,0
2021-04-08,1,1,0,0,0,0,0
2021-04-09,18,5,3,2,0,3,5
2021-04-10,4,2,0,0,0,1,1
2021-04-11,0,0,0,0,0,0,0
2021-04-12,5,3,1,0,0,1,0
2021-04-13,6,4,2,0,0,0,0
2021-04-14,4,1,0,1,0,1,1
2021-04-15,10,4,3,2,0,1,0
2021-04-16,7,3,0,2,0,2,0
2021-04-17,3,1,0,0,0,1,1
2021-04-18,1,1,0,0,0,0,0
2021-04-19,4,2,1,1,0,0,0
2021-04-20,5,2,1,1,0,1,0
2021-04-21,2,2,0,0,0,0,0
2021-04-22,1,0,1,0,0,0,0
2021-04-23,1,0,1,0,0,0,0
2021-04-24,1,0,1,0,0,0,0
2021-04-25,0,0,0,0,0,0,0
2021-04-26,3,1,0,1,0,0,1
2021-04-27,3,0,1,1,0,1,0
2021-04-28,0,0,0,0,0,0,0
2021-04-29,1,0,0,0,0,0,1
2021-04-30,3,1,0,2,0,0,0
2021-05-01,0,0,0,0,0,0,0
2021-05-02,0,0,0,0,0,0,0
2021-05-03,10,0,1,1,0,7,1
2021-05-04,4,2,1,0,0,1,0
2021-05-05,6,2,2,0,0,2,0
2021-05-06,9,5,1,2,0,1,0
2021-05-07,5,0,0,1,0,4,0
2021-05-08,1,0,0,0,0,1,0
2021-05-09,0,0,0,0,0,0,0
2021-05-10,5,1,0,0,0,3,1
2021-05-11,8,4,0,3,0,1,0
2021-05-12,7,5,1,0,0,1,0
2021-05-13,10,6,1,2,0,1,0
2021-05-14,7,5,0,1,0,0,1
2021-05-15,1,0,0,0,0,1,0
2021-05-16,0,0,0,0,0,0,0
2021-05-17,3,0,0,2,1,0,0
2021-05-18,4,0,0,1,0,2,1
2021-05-19,3,1,0,1,1,0,0
2021-05-20,5,4,0,0,0,0,1
2021-05-21,4,2,1,1,0,0,0
2021-05-22,0,0,0,0,0,0,0
2021-05-23,0,0,0,0,0,0,0
2021-05-24,6,0,1,3,0,2,0
2021-05-25,4,0,1,1,0,1,1
2021-05-26,3,0,0,0,0,1,2
2021-05-27,4,0,2,2,0,0,0
2021-05-28,2,0,0,1,0,1,0
2021-05-29,0,0,0,0,0,0,0
2021-05-30,0,0,0,0,0,0,0
2021-05-31,7,0,0,4,0,3,0
2021-06-01,2,0,0,1,0,0,1
2021-06-02,1,0,0,1,0,0,0
2021-06-03,4,2,0,1,0,1,0
2021-06-04,3,0,0,3,0,0,0
2021-06-05,3,1,1,1,0,0,0
2021-06-06,0,0,0,0,0,0,0
2021-06-07,2,1,0,1,0,0,0
2021-06-08,12,3,1,6,0,1,1
2021-06-09,5,2,2,0,0,0,1
2021-06-10,10,0,2,6,0,2,0
2021-06-11,1,0,0,0,0,0,1
2021-06-12,1,0,0,1,0,0,0
2021-06-13,0,0,0,0,0,0,0
2021-06-14,5,0,0,3,0,2,0
2021-06-15,5,1,0,1,0,3,0
2021-06-16,10,6,0,1,0,2,1
2021-06-17,2,2,0,0,0,0,0
2021-06-18,3,1,1,1,0,0,0
2021-06-19,1,0,1,0,0,0,0
2021-06-20,0,0,0,0,0,0,0
2021-06-21,4,0,1,3,0,0,0
2021-06-22,6,1,1,2,0,2,0
2021-06-23,4,1,0,0,0,3,0
2021-06-24,2,0,0,2,0,0,0
2021-06-25,4,0,1,1,0,2,0
2021-06-26,1,0,0,1,0,0,0
2021-06-27,0,0,0,0,0,0,0
2021-06-28,16,5,3,3,0,4,1
2021-06-29,0,0,0,0,0,0,0
2021-06-30,9,0,2,5,0,2,0
2021-07-01,11,3,1,4,0,1,2
2021-07-02,12,3,2,4,0,3,0
2021-07-03,1,0,0,1,0,0,0
2021-07-04,0,0,0,0,0,0,0
2021-07-05,5,2,0,2,0,1,0
2021-07-06,7,1,1,4,0,0,1
2021-07-07,11,2,1,4,0,3,1
2021-07-08,5,1,1,2,0,1,0
2021-07-09,4,1,0,1,0,2,0
2021-07-10,2,1,0,0,0,0,1
2021-07-11,0,0,0,0,0,0,0
2021-07-12,5,0,1,4,0,0,0
2021-07-13,4,0,0,2,0,2,0
2021-07-14,5,3,1,0,0,1,0
2021-07-15,5,1,1,2,0,1,0
2021-07-16,1,0,0,1,0,0,0
2021-07-17,1,0,0,0,0,1,0
2021-07-18,0,0,0,0,0,0,0
2021-07-19,1,0,0,1,0,0,0
2021-07-20,6,0,2,3,0,1,0
2021-07-21,6,2,2,2,0,0,0
2021-07-22,2,0,0,2,0,0,0
2021-07-23,1,0,0,1,0,0,0
2021-07-24,3,1,1,0,0,0,1
2021-07-25,0,0,0,0,0,0,0
2021-07-26,9,1,2,6,0,0,0
2021-07-27,3,0,1,2,0,0,0
2021-07-28,1,0,0,0,0,1,0
2021-07-29,0,0,0,0,0,0,0
2021-07-30,1,0,1,0,0,0,0
2021-07-31,4,1,0,3,0,0,0
2021-08-01,0,0,0,0,0,0,0
2021-08-02,5,0,0,3,0,1,1
2021-08-03,2,1,1,0,0,0,0
2021-08-04,3,0,0,2,0,0,1
2021-08-05,2,0,1,0,0,0,1
2021-08-06,3,1,0,1,0,1,0
2021-08-07,2,1,0,1,0,0,0
2021-08-08,0,0,0,0,0,0,0
2021-08-09,7,2,1,1,0,0,3
2021-08-10,9,1,5,2,0,0,1
2021-08-11,3,2,0,1,0,0,0
2021-08-12,2,0,0,1,0,0,1
2021-08-13,6,0,0,6,0,0,0
2021-08-14,0,0,0,0,0,0,0
2021-08-15,0,0,0,0,0,0,0
2021-08-16,10,2,1,6,0,0,1
2021-08-17,7,2,0,4,0,0,1
2021-08-18,7,2,0,4,0,1,0
2021-08-19,5,3,0,2,0,0,0
2021-08-20,3,0,0,3,0,0,0
2021-08-21,0,0,0,0,0,0,0
2021-08-22,0,0,0,0,0,0,0
2021-08-23,4,1,0,0,0,2,1
2021-08-24,5,2,0,2,0,0,1
2021-08-25,2,0,0,2,0,0,0
2021-08-26,6,0,1,2,0,1,2
2021-08-27,9,0,0,4,0,3,2
2021-08-28,5,0,0,2,0,1,2
2021-08-29,0,0,0,0,0,0,0
2021-08-30,0,0,0,0,0,0,0
2021-08-31,22,3,4,5,0,1,9
2021-09-01,11,1,2,4,0,1,3
2021-09-02,26,3,5,5,0,10,3
2021-09-03,9,2,0,2,0,3,2
2021-09-04,0,0,0,0,0,0,0
2021-09-05,0,0,0,0,0,0,0
2021-09-06,21,2,1,11,0,7,0
2021-09-07,19,0,2,11,0,3,3
2021-09-08,6,0,2,2,0,1,1
2021-09-09,8,1,1,4,0,1,1
2021-09-10,6,4,0,1,0,0,1
2021-09-11,6,1,1,2,0,2,0
2021-09-12,0,0,0,0,0,0,0
2021-09-13,10,2,0,4,0,1,3
2021-09-14,3,0,1,0,0,0,2
2021-09-15,10,3,1,2,0,2,2
2021-09-16,8,0,1,4,0,1,2
2021-09-17,5,0,2,1,0,1,1
2021-09-18,1,0,0,0,0,1,0
2021-09-19,0,0,0,0,0,0,0
2021-09-20,3,0,1,2,0,0,0
